steps,bmi,gender
903,31.5,woman
903,30.2,woman
903,30.1,woman
903,30.1,woman
903,28.8,woman
903,28.8,woman
903,23.7,woman
903,23.7,woman
764,30.4,woman
764,28.9,woman
764,28.9,woman
764,23.9,woman
764,23.9,woman
602,31.4,woman
602,31.4,woman
602,30.7,woman
602,30.7,woman
602,30.8,woman
602,30.7,woman
602,30.6,woman
602,30.7,woman
602,30.6,woman
602,30.6,woman
602,29,woman
602,28.9,woman
602,29,woman
602,29,woman
602,28.4,woman
602,28.4,woman
602,28.4,woman
602,28.4,woman
602,27.6,woman
602,27.5,woman
602,27.5,woman
602,24.1,woman
602,24.1,woman
463,30.8,woman
463,30.8,woman
463,29.8,woman
463,29.7,woman
463,28.9,woman
463,28.7,woman
463,28.7,woman
463,28.7,woman
463,27.1,woman
463,27.1,woman
463,27.1,woman
463,24.4,woman
463,24.4,woman
463,24.4,woman
301,30.8,woman
301,30,woman
301,30,woman
301,30,woman
301,26.7,woman
301,26.6,woman
301,26.6,woman
301,26.6,woman
301,26.6,woman
301,24.9,woman
301,24.8,woman
301,24.9,woman
301,24.8,woman
301,24.8,woman
301,24.9,woman
162,30.7,woman
162,30.6,woman
162,30.6,woman
162,30.6,woman
162,30.6,woman
162,30.5,woman
162,30.6,woman
162,30.3,woman
162,30.4,woman
162,30.4,woman
162,30.4,woman
162,30.3,woman
162,30.4,woman
162,30.3,woman
162,30.3,woman
0,15,woman
15000,16.9,man
15000,16.9,man
14861,16.8,man
14861,16.8,man
14699,17.3,man
14560,20.5,man
14560,20.6,man
14560,20.5,man
14560,20.4,man
14560,20.4,man
14560,19.8,man
14560,19.7,man
14560,19.7,man
14560,19.6,man
14560,19.6,man
14560,19.6,man
14560,17.4,man
14560,17.4,man
14398,20.9,man
14398,17.5,man
14398,17.1,man
14259,21.1,man
14259,21.1,man
14259,18.9,man
14259,17.5,man
14259,17.2,man
14259,16.7,man
14097,21.3,man
14097,21.3,man
14097,18.6,man
14097,18.6,man
14097,17.3,man
13958,21.4,man
13958,21.4,man
13958,17.6,man
13796,21.6,man
13796,21.6,man
13796,18.2,man
13796,18.2,man
13796,18.2,man
13796,18.1,man
13796,17.7,man
13796,17.7,man
13657,21.7,man
13657,17.7,man
13657,17.5,man
13495,21.8,man
13495,21.8,man
13333,21.9,man
13333,17.8,man
13333,16.9,man
13333,16.9,man
13333,16.9,man
13333,16.8,man
13333,16.8,man
13333,16.8,man
13194,17.8,man
13194,17.8,man
13194,17.2,man
13032,22.2,man
13032,17.7,man
12894,22.3,man
12894,17.8,man
12894,17.7,man
12894,17.3,man
12731,24.8,man
12731,24.8,man
12731,24.8,man
12731,24.8,man
12731,23.8,man
12731,23.7,man
12731,23.7,man
12731,22.4,man
12731,17.7,man
12731,17.4,man
12593,25.1,man
12593,25.1,man
12593,23.3,man
12593,23.3,man
12593,23.3,man
12593,23.3,man
12593,22.5,man
12593,16.8,man
12431,22.9,man
12431,22.9,man
12431,22.7,man
12431,22.7,man
12431,17.6,man
12431,16.9,man
12431,16.9,man
12431,16.9,man
12292,25.5,man
12292,22.7,man
12292,17.8,man
12292,17.6,man
12292,17.6,man
12292,17.6,man
12292,17.1,man
12292,17,man
12292,17,man
12130,22.4,man
12130,17.2,man
11968,25.8,man
11968,25.8,man
11968,22.2,man
11968,22.2,man
11968,17.7,man
11968,17.7,man
11829,29.7,man
11829,28.9,man
11829,28.8,man
11829,19,man
11829,18.2,man
11829,18.2,man
11829,17.3,man
11667,29.8,man
11667,29.5,man
11667,28.5,man
11667,26,man
11667,21.9,man
11667,21.9,man
11667,17.9,man
11667,18.1,man
11667,17.9,man
11528,29.8,man
11528,28.4,man
11528,28.4,man
11528,26,man
11528,26,man
11528,21.8,man
11528,19.3,man
11528,19.3,man
11528,18.1,man
11528,18,man
11528,17.8,man
11528,17.2,man
11366,29.8,man
11366,28.3,man
11366,28.3,man
11366,26.1,man
11366,19.4,man
11366,17.8,man
11227,29.6,man
11227,29.6,man
11227,29.6,man
11227,29.6,man
11227,28.7,man
11227,28.2,man
11227,26.2,man
11227,21.6,man
11227,21.6,man
11227,19.5,man
11227,19.5,man
11227,17.7,man
11065,29.9,man
11065,28.3,man
11065,28.3,man
11065,28.2,man
11065,26.2,man
11065,21.4,man
11065,17.4,man
11065,17.4,man
11065,17.3,man
11065,17.3,man
10926,30.2,man
10926,30.1,man
10926,28,man
10926,28.1,man
10926,26.3,man
10926,19.6,man
10764,30.3,man
10764,30.4,man
10764,27.8,man
10764,27.3,man
10764,27.2,man
10764,21.1,man
10764,19.7,man
10625,30.5,man
10625,30.5,man
10625,29.9,man
10625,28.9,man
10625,28.9,man
10625,27.6,man
10625,27.6,man
10625,27.5,man
10625,27.5,man
10625,20.8,man
10463,31.3,man
10463,30.1,man
10463,30.1,man
10463,28.5,man
10463,27.8,man
10463,27.4,man
10463,27.8,man
10463,25.8,man
10463,25.8,man
10463,20.3,man
10463,20.4,man
10463,20.3,man
10463,20.3,man
10463,19.8,man
10301,31.4,man
10301,30.8,man
10301,30.8,man
10301,29.7,man
10301,29.6,man
10301,29.7,man
10301,28.4,man
10301,28.3,man
10301,27.3,man
10301,27.3,man
10301,27.4,man
10301,27.2,man
10301,27.3,man
10301,27.3,man
10301,27.3,man
10301,26.5,man
10301,26.6,man
10301,26.6,man
10301,25.7,man
10301,19.5,man
10301,19.5,man
10162,31.3,man
10162,30.9,man
10162,30.3,man
10162,29.9,man
10162,29.9,man
10162,28.2,man
10162,28.1,man
10162,27.5,man
10162,27.1,man
10162,25.5,man
10000,31.5,man
10000,31,man
10000,30.3,man
10000,30,man
10000,28.2,man
10000,27,man
10000,25.5,man
10000,18.8,man
10000,18.7,man
10000,18.7,man
9861,31.1,man
9861,31.1,man
9861,30,man
9861,29.6,man
9861,29.1,man
9861,26.9,man
9861,26.3,man
9861,25.4,man
9861,18.5,man
9861,18.5,man
9699,28.9,man
9699,26.8,man
9699,26.3,man
9699,25.3,man
9699,18.3,man
9560,31.2,man
9560,30.3,man
9560,30.1,man
9560,29.6,man
9560,28.8,man
9560,26.2,man
9560,25.3,man
9560,24.1,man
9560,24,man
9560,24.1,man
9398,31.5,man
9398,31.3,man
9398,31.3,man
9398,29.6,man
9398,29.6,man
9398,29.3,man
9398,29.3,man
9398,29.5,man
9398,29.2,man
9398,29.2,man
9398,29.2,man
9398,29.2,man
9398,29.2,man
9398,29.1,man
9398,29.5,man
9398,27.8,man
9398,29.3,man
9398,27.8,man
9398,26.8,man
9398,25.3,man
9398,26.2,man
9398,24.9,man
9398,23.6,man
9398,23.6,man
9398,23.6,man
9398,18,man
9259,31.6,man
9259,30.3,man
9259,30.1,man
9259,30.1,man
9259,29.4,man
9259,29.5,man
9259,29.3,man
9259,29.2,man
9259,29.4,man
9259,29.1,man
9259,29.3,man
9259,29.2,man
9259,29.4,man
9259,29.2,man
9259,29.2,man
9259,29.3,man
9259,29.3,man
9259,28.8,man
9259,29.2,man
9259,28.2,man
9259,27.6,man
9259,25,man
9259,23.3,man
9259,23.3,man
9259,17.8,man
9259,17.8,man
9097,31.4,man
9097,30.3,man
9097,30.1,man
9097,29.4,man
9097,29.5,man
9097,29.4,man
9097,29.3,man
9097,29.1,man
9097,29.2,man
9097,29.2,man
9097,29.4,man
9097,29.3,man
9097,29.3,man
9097,29.2,man
9097,28.2,man
9097,29.1,man
9097,29.3,man
9097,27.5,man
9097,26.7,man
9097,26.2,man
9097,25.1,man
9097,25.2,man
9097,25.1,man
9097,23,man
9097,17.5,man
9097,17.6,man
9097,17.4,man
9097,17.5,man
9097,17.3,man
9097,17.5,man
9097,15.8,man
9097,15.8,man
9097,15.9,man
8935,31.4,man
8935,30.1,man
8935,30.2,man
8935,29.5,man
8935,29.4,man
8935,29.5,man
8935,29.4,man
8935,29.3,man
8935,29.4,man
8935,29.2,man
8935,29.2,man
8935,29.2,man
8935,28.9,man
8935,26.1,man
8935,25.2,man
8935,22.8,man
8935,16.3,man
8796,31.9,man
8796,30.2,man
8796,30.1,man
8796,29,man
8796,29,man
8796,28.1,man
8796,26.1,man
8796,25.1,man
8796,22.6,man
8796,22.6,man
8796,22.6,man
8796,17.3,man
8796,17.2,man
8796,17.3,man
8796,17.2,man
8796,17.3,man
8796,17.2,man
8796,16.4,man
8796,15.9,man
8796,15.9,man
8634,31.9,man
8634,30,man
8634,29.5,man
8634,28.1,man
8634,26.1,man
8634,22.4,man
8634,22.4,man
8634,17.5,man
8495,30.2,man
8495,29.7,man
8495,29.7,man
8495,28,man
8495,28,man
8495,26.1,man
8495,22.3,man
8495,17.5,man
8495,17.5,man
8333,31.8,man
8333,27.9,man
8333,26.1,man
8333,25.1,man
8333,25.1,man
8333,17.4,man
8333,17.4,man
8333,17.4,man
8194,31.9,man
8194,28.4,man
8194,27.9,man
8194,26.7,man
8194,26.1,man
8194,26.1,man
8194,22.1,man
8194,22,man
8194,17.3,man
8032,26.1,man
8032,25.1,man
8032,23.4,man
8032,23.4,man
8032,22.5,man
8032,22.6,man
8032,22.7,man
8032,17.7,man
7894,32,man
7894,29.9,man
7894,29.5,man
7894,28.4,man
7894,28,man
7894,26.1,man
7894,21.8,man
7894,17.7,man
7731,31.5,man
7731,30.3,man
7731,30,man
7731,29.4,man
7731,29.3,man
7731,29.3,man
7731,29.1,man
7731,29.3,man
7731,29.2,man
7731,28.1,man
7731,26.5,man
7731,26.7,man
7731,26.5,man
7731,26.4,man
7731,26.4,man
7731,26.3,man
7731,25.1,man
7731,21.7,man
7731,17.6,man
7593,32,man
7593,31.4,man
7593,30,man
7593,29.4,man
7593,27.7,man
7593,27.7,man
7593,26.7,man
7593,25.2,man
7431,32,man
7431,31.7,man
7431,31.4,man
7431,31.4,man
7431,30.3,man
7431,29.4,man
7431,29.3,man
7431,29.2,man
7431,29.2,man
7431,29.1,man
7431,29.2,man
7431,29.4,man
7431,29.3,man
7431,29.2,man
7431,29.1,man
7431,28.1,man
7431,26.7,man
7431,21.7,man
7431,21.6,man
7431,17.6,man
7431,17.6,man
7269,31.9,man
7269,31.7,man
7269,30.4,man
7269,29.4,man
7269,29.3,man
7269,29.4,man
7269,29.3,man
7269,29.3,man
7269,29,man
7269,29.2,man
7269,29.2,man
7269,28.7,man
7269,29,man
7269,29.1,man
7269,29.1,man
7269,29.4,man
7269,21.1,man
7269,21.1,man
7130,31.7,man
7130,31.3,man
7130,30.4,man
7130,29.5,man
7130,29.5,man
7130,29.4,man
7130,29.3,man
7130,29.4,man
7130,29.2,man
7130,29.2,man
7130,29.3,man
7130,29.2,man
7130,29.1,man
7130,29.1,man
7130,29,man
7130,29.3,man
7130,28.1,man
7130,29,man
7130,29,man
7130,29.4,man
7130,29.3,man
7130,27.6,man
7130,26.2,man
7130,20.9,man
7130,20.9,man
7130,21.6,man
7130,17.7,man
7130,17.7,man
6968,30.4,man
6968,30.4,man
6968,30,man
6968,29.5,man
6968,29.2,man
6968,29.1,man
6968,29.1,man
6968,28.7,man
6968,29.2,man
6968,28,man
6968,28,man
6968,26.8,man
6968,26.2,man
6968,25.3,man
6968,25.3,man
6968,21.6,man
6968,20.6,man
6968,20.6,man
6968,17.6,man
6829,31.6,man
6829,30.4,man
6829,30,man
6829,26.2,man
6829,20.6,man
6829,20.3,man
6829,20.3,man
6829,17.8,man
6667,31.1,man
6667,30,man
6667,28.9,man
6667,26.4,man
6667,26.3,man
6667,26.3,man
6667,26.3,man
6667,25.4,man
6667,20.8,man
6667,19.8,man
6667,19.9,man
6667,19.9,man
6667,17.9,man
6667,18,man
6528,31.5,man
6528,31,man
6528,31,man
6528,29.9,man
6528,29.5,man
6528,29.2,man
6528,29.2,man
6528,29.3,man
6528,29.2,man
6528,27,man
6528,26.3,man
6528,26.3,man
6528,25,man
6528,21.1,man
6528,21,man
6528,19.2,man
6528,19.2,man
6528,19.3,man
6528,19.3,man
6528,19.4,man
6528,19.2,man
6528,19.3,man
6528,19.2,man
6528,19.4,man
6366,31.4,man
6366,31.3,man
6366,31.3,man
6366,30.9,man
6366,29.4,man
6366,29.4,man
6366,28.1,man
6366,27.5,man
6366,27.1,man
6366,26.4,man
6366,25.5,man
6366,24.9,man
6366,21.3,man
6366,18.1,man
6366,15.7,man
6227,30.9,man
6227,30.8,man
6227,30.2,man
6227,30.2,man
6227,29.6,man
6227,29.3,man
6227,28.3,man
6227,27.9,man
6227,27.3,man
6227,26.9,man
6227,27,man
6227,26.5,man
6227,26.5,man
6227,25.7,man
6227,24.7,man
6227,21.5,man
6227,17.6,man
6227,17.8,man
6227,17.6,man
6227,15.8,man
6065,30.7,man
6065,30.1,man
6065,28.6,man
6065,28.5,man
6065,27.8,man
6065,25.8,man
6065,24.6,man
6065,21.7,man
6065,21.7,man
6065,21.7,man
6065,21.8,man
6065,17.2,man
6065,17.3,man
6065,16,man
6065,15.9,man
5903,30.5,man
5903,30.5,man
5903,29.9,man
5903,28.9,man
5903,27.7,man
5903,27.5,man
5903,27.5,man
5903,26,man
5903,26,man
5903,24.3,man
5903,24.3,man
5903,21.9,man
5903,17.6,man
5903,16.9,man
5764,30.3,man
5764,30.3,man
5764,27.9,man
5764,27.3,man
5764,27.3,man
5764,27.3,man
5764,26.2,man
5764,26.2,man
5764,24.2,man
5764,24.1,man
5764,24.1,man
5764,22.1,man
5764,17.7,man
5602,30.2,man
5602,30.1,man
5602,28.1,man
5602,26.3,man
5602,23.7,man
5602,22.4,man
5602,21,man
5602,17,man
5463,29.9,man
5463,28.3,man
5463,28.2,man
5463,23.4,man
5463,23.4,man
5463,20.8,man
5463,17,man
5301,29.6,man
5301,29.5,man
5301,29.5,man
5301,28.2,man
5301,23.5,man
5301,20.6,man
5301,19.1,man
5301,19.1,man
5301,19.2,man
5301,19.1,man
5301,19.2,man
5301,18.9,man
5301,18.4,man
5301,18.3,man
5301,18.4,man
5301,18.4,man
5301,18.4,man
5301,17.8,man
5301,17.9,man
5301,17,man
5162,28.3,man
5162,28.3,man
5162,23.5,man
5162,19.9,man
5162,19.9,man
5162,19.9,man
5000,26.2,man
5000,17.9,man
5000,17.8,man
5000,18,man
5000,16.9,man
4861,29.8,man
4861,28.6,man
4861,28.5,man
4861,17.7,man
4861,17.2,man
4861,16.8,man
4699,28.9,man
4699,26.2,man
4699,23.6,man
4699,17.1,man
4699,16.8,man
4560,26.2,man
4560,26.2,man
4560,23.6,man
4560,23.6,man
4560,17.6,man
4560,16.8,man
4560,16.7,man
4398,23.6,man
4398,23.6,man
4398,17.3,man
4398,17.3,man
4398,17,man
4398,17,man
4236,23.6,man
4236,17.3,man
4236,16.9,man
4236,16.7,man
4097,23.6,man
4097,23.6,man
4097,17.2,man
3935,29.8,man
3935,29.8,man
3935,29.5,man
3935,23.6,man
3935,17.3,man
3796,29.8,man
3796,23.6,man
3796,17.5,man
3796,17.1,man
3796,17.1,man
3796,17.5,man
3796,16.8,man
3634,29.8,man
3634,29.9,man
3634,23.6,man
3634,17.5,man
3634,17,man
3634,17,man
3634,16.8,man
3495,29.9,man
3495,17.5,man
3495,17.3,man
3495,16.9,man
3495,16.8,man
3333,29.8,man
3333,29.3,man
3333,26.2,man
3333,17.2,man
3333,17.4,man
3194,29.2,man
3194,28.4,man
3194,17,man
3194,17,man
3194,17,man
3032,29.7,man
3032,29,man
3032,29,man
3032,28.4,man
3032,17.1,man
3032,17.2,man
2870,30.6,man
2870,30.6,man
2870,29.7,man
2870,28.8,man
2870,28.8,man
2870,28.4,man
2870,26.3,man
2731,30.1,man
2731,30.1,man
2731,28.6,man
2731,28.7,man
2731,28.4,man
2731,26.9,man
2731,26.8,man
2731,26.8,man
2731,26.3,man
2731,26.3,man
2731,26.3,man
2731,27,man
2569,31.4,man
2569,28.4,man
2569,25.9,man
2569,23.6,man
2431,31.2,man
2431,31.2,man
2431,31.2,man
2431,29.5,man
2431,28.6,man
2431,28.4,man
2431,28.4,man
2269,30.9,man
2269,30.9,man
2269,30.8,man
2269,29.5,man
2269,28.6,man
2269,25.5,man
2130,31.5,man
2130,31.5,man
2130,29.4,man
1968,29.3,man
1968,29.3,man
1968,23.7,man
1968,23.6,man
1829,31.7,man
1829,28.6,man
1829,28.5,man
1829,28.6,man
1667,31.7,man
1667,28.9,man
1667,23.5,man
1667,23.5,man
1667,23.6,man
1528,23.6,man
1528,23.6,man
1366,31.1,man
1366,30.8,man
1366,30.9,man
1366,30.8,man
1366,30.8,man
1204,31.1,man
1204,31.1,man
1204,28.7,man
1204,28.7,man
1065,28.6,man
903,30.2,man
903,23.7,man
764,30.4,man
764,30.4,man
602,30.7,man
602,27.6,man
602,24.2,man
463,28.9,man
301,24.8,man
